Noms dels nadons. 2016;;;;
Catalunya;;;;
Font: Idescat, a partir de l'estadística de naixements.;;;;
Nota: el ‰ ha estat calculat sobre el total de nascuts vius a l'any i en el lloc de residència seleccionats.;;;;
Nota: Només es mostren els noms de freqüència igual o superior a 4.;;;;
Institut d'Estadística de Catalunya;;;;
http://www.idescat.cat/nadons/;;;;
Pos.;Sexe;Nom;Rànquing. Freqüència;Rànquing. ‰
503;D;ADARA;17;0,25
503;D;ALICE;17;0,25
503;D;ETNA;17;0,25
503;H;JUAN MANUEL;17;0,25
503;D;MEI;17;0,25
503;D;MERCÈ;17;0,25
503;D;MILA;17;0,25
503;D;SAFA;17;0,25
503;D;SAMARA;17;0,25
503;D;SHEILA;17;0,25
503;H;TIAN;17;0,25
503;D;VERÒNICA/VERÓNICA;17;0,25
503;H;WASSIM;17;0,25
516;D;AGNÈS;16;0,23
516;D;AINOA;16;0,23
516;D;AMAYA;16;0,23
516;H;ANOUAR;16;0,23
516;D;ANTONELLA;16;0,23
516;H;BADR;16;0,23
516;H;CÈSAR/CÉSAR;16;0,23
516;D;HAJAR;16;0,23
516;H;HAMZA;16;0,23
516;D;IVETTE;16;0,23
516;D;JULIETTE;16;0,23
516;H;MAHAMADOU;16;0,23
516;D;MARA;16;0,23
516;H;MOUSSA;16;0,23
516;H;MUSA;16;0,23
516;D;MÒNICA/MÓNICA;16;0,23
516;D;NAYLA;16;0,23
516;H;NOÈ/NOÉ;16;0,23
516;D;RAQUEL;16;0,23
516;D;SOPHIE;16;0,23
516;H;ZIAD;16;0,23
537;H;ALGUER;15;0,22
537;H;AMJAD;15;0,22
537;D;ARLETTE;15;0,22
537;H;BRYAN;15;0,22
537;H;DAN;15;0,22
537;H;EINAR;15;0,22
537;D;ELBA;15;0,22
537;H;ENEKO;15;0,22
537;D;ESTHER;15;0,22
537;D;FIONA;15;0,22
537;D;FIRDAWS;15;0,22
537;D;GAIA;15;0,22
537;H;GRAU;15;0,22
537;D;HAWA;15;0,22
537;H;HUG;15;0,22
537;D;INSAF;15;0,22
537;H;JACOB;15;0,22
537;H;JAIME;15;0,22
537;H;LUCCA;15;0,22
537;D;MIRANDA;15;0,22
537;D;NAYELI;15;0,22
537;D;NOAH;15;0,22
537;D;NOHA;15;0,22
537;D;NOÈLIA/NOELIA;15;0,22
537;H;REDA;15;0,22
537;H;ROMAN/ROMÁN;15;0,22
537;H;ROMEO;15;0,22
537;H;RYAN;15;0,22
537;D;SAFAA;15;0,22
537;H;SALMAN;15;0,22
537;H;YAEL;15;0,22
537;H;YOUSEF;15;0,22
537;D;ÀSIA;15;0,22
570;H;ADONAY;14;0,2
570;H;ARMAND;14;0,2
570;H;ARTURO;14;0,2
570;D;AYLEN;14;0,2
570;H;DAMIÀ;14;0,2
570;D;EDITH;14;0,2
570;H;ETHAN;14;0,2
570;H;KARAM;14;0,2
570;D;LLUM;14;0,2
570;H;LOGAN;14;0,2
570;D;MARIAMA;14;0,2
570;D;MATILDA;14;0,2
570;H;NAÏM/NAÍM;14;0,2
570;D;NOR;14;0,2
570;H;RICARDO;14;0,2
570;D;RÀNIA/RANIA;14;0,2
570;D;SABRINA;14;0,2
570;H;SALIM;14;0,2
570;D;SOPHIA;14;0,2
570;H;UNAX;14;0,2
570;D;WIAM;14;0,2
570;H;YERAI;14;0,2
592;D;AIDA/AÏDA/AÍDA;13;0,19
592;D;ALAIA;13;0,19
592;H;ALESSANDRO;13;0,19
592;D;AMY;13;0,19
592;H;ANDRE/ANDRÉ;13;0,19
592;D;ANEU/ÀNEU;13;0,19
592;D;ANIA;13;0,19
592;D;ARIJ;13;0,19
592;D;ASSIL;13;0,19
592;D;BEATRIZ;13;0,19
592;D;BETH;13;0,19
592;D;DAYANA;13;0,19
592;D;DÀNIA/DANIA;13;0,19
592;D;ELLA;13;0,19
592;H;EROS;13;0,19
592;D;IKHLAS;13;0,19
592;D;INDIRA;13;0,19
592;H;ISLAM;13;0,19
592;H;JAIRO;13;0,19
592;H;JOSÉ MANUEL;13;0,19
592;H;JUAN ANTONIO;13;0,19
592;D;LEILA;13;0,19
592;H;MAMADOU;13;0,19
592;D;MANAL;13;0,19
